0,Delta  Air Lines Employee Data and Analysis,Delta Airlines,Unnamed: 3,Traffic Indicies,Unnamed: 5,Stage Length in Miles  (for SLA purposes),Seats Per Departure (for  SDA purposes),Price Per Gallon of Fuel,Airborne Hours / Block  Hours,Unnamed: 10,Outsourcing Indicies,Unnamed: 12,Maintenance $'s  Outsourced,Other Outsourcing as %  of Total Exp. (ex-Fuel),Transport Related Expense  (000),Unnamed: 16,Pilots & Co-Pilots  (note: Includes Flight Engineers where applicable),Flight Attendants (note:  Avg Crew = 1 FA per 50 seats),Maintenance,"Passenger, Cargo and  Aircraft Handling",Other,Total,Pilots & Co-Pilots,Flight Attendants,Maintenance.1,"Passenger, Cargo and  Aircraft Handling.1",Other.1,Total.1,Pilots & Co-Pilots  (Crews),Flight Attendants (Crews),Maintenance (Inhouse),"Passenger, Cargo and  Aircraft Handling (Inhouse)",Other (Inhouse),Total.2,Unnamed: 35,Passengers Per Employee,Pilots & Co-Pilots.1,Flight Attendants.1,Maintenance.2,"Passenger, Cargo and  Aircraft Handling.2",Other.2,Total.3,Unnamed: 43,Productivity Measures  Revenue,Unnamed: 45,Passenger Revenue Per  Employee (000),Pilots & Co-Pilots.2,Flight Attendants.2,Maintenance.3,"Passenger, Cargo and  Aircraft Handling.3",Other.3,Total.4,Unnamed: 53,Salary and Benefits,Unnamed: 55,Average Salary,Management and All Other,Pilots & Co-Pilots.3,Flight Attendants.3,Maintenance.4,"Passenger, Cargo and  Aircraft Handling.4",All Non-Cockpit,Total.5,Unnamed: 64,Other Compensation Per  Employee (All Employees),"Benefits, Pensions and  Payroll Taxes",Pilots & Co-Pilots.4,All Others,Total.6,Personnel,Pilots & Co-Pilots.5,Flight Attendents,Payroll Taxes,Pilots & Co-Pilots.6,All Others.1,Unnamed: 76,Raw Data,Number of Months,Number of Days,P10- Employee Count Data,Sum of General Management,Sum of Pilots and  Co-Pilots,Sum of Other Flight  Personnel,Sum of Passenger and  General Services,Sum of Maintenance,Sum of AC Handling 1,Sum of Aircraft Handling,Sum of Aircraft Control,Sum of Passenger  Handling,Sum of Cargo Handling,Sum of Trainees and  Instructors,Sum of Stats,Sum of Traffic  Solicitors,Sum of Other,Sum of Transport Related,Sum of Total,P6- Objective Grouping  Operating Expense Data,Sum of Salaries-General  Management Personnel (000),Sum of Salaries-Flight  Personnel (000),Sum of  Salaries-Maintenance Labor (000),Sum of Salaries-Aircraft  And Traffic Handling Personnel (000),Sum of Salaries-Other  Personnel (000),Sum of Salaries-Total  (000),Sum of Related Fringe  Benefits-Personnel Expense (000),Sum of Related Fringe  Benefits-Employee Benefits And Pensions (000),Sum of Related Fringe  Benefits-Payroll Taxes (000),Sum of Related Fringe  Benefits-Total (000),Sum of Total Salaries And  Related Fringe Benefits (000),Sum of Services  Purchased-Advertising And Other Promotions (000),Sum of Services  Purchased-Communication (000),Sum of Services  Purchased-Insurance (000),Sum of Services  Purchased-Outside Flight Equipment Maintenance (000),Sum of Services  Purchased-Traffic Commissions -Passenger (000),Sum of Services  Purchased-Traffic Commissions-Cargo (000),Sum of Services  Purchased-Other Services (000),Sum of Services  Purchased-Total (000),Sum of Transport Related  Expense (000),Sum of Total Operating  Expense (000),T1 & T2- Traffic Data,Sum of RPMs,Sum of ASMs,Sum of Miles,Sum of Depts,Sum of Airborne Hours,Sum of Block Hours,Sum of AC Days,Sum of Gallons,Sum of Passengers,P12- Profit and Loss  Statement,Sum of Pax Rev (000),Sum of Charter Pax (000),Sum of Transport Related  Rev (000),Sum of Cargo Rev (000),Sum of Total Rev (000),Sum of Passenger Baggage  Fees (000),Sum of Reservation  Cancellation Fees And Misc Operating Revenues (000),P52- Functional Grouping  Operating Expense Data,Sum of Pilots And  Copilots (000),Sum of Other Flight  Personnel (000),Sum of Trainees And  Instructors (000),Sum of Personnel Expenses  (000),Sum of Employee Benefits  And Pensions (000),Sum of Taxes-Payroll  (000),Sum of Total Flight  Equipment Maintenance (Memo) (000),Sum of Flying  Operations-Aircraft Fuels (000)
1,,,1995.0,,,761.0,180.0,$0.55,83%,,,,12.50%,10.70%,"$306,714",,39.0,36.8,22.8,6.1,20.3,2.5,15598.8,8176.5,18268.6,4884.8,16210.5,1964.0,7.8,8.2,13.3,49.7,15.0,123.5,,,10417.0,5460.0,12200.0,3262.0,10826.0,1312.0,,,,,"$1,363.90",$714.90,"$1,597.30",$427.10,"$1,417.40",$171.70,,,,,"$46,044","$129,315","$29,954","$33,052","$35,873","$27,114","$47,178",,,,"$26,237","$7,662","$10,000",,"$7,365","$8,895",,"$8,640","$2,861",,,12.0,365.0,,209.0,8347.0,1,15926.0,7128.0,-,9674.0,685.0,6563.0,9736.0,321.0,3966.0,933.0,2813.0,-,66302.0,,"$67,875","$1,556,570","$235,596","$956,300","$311,622","$3,127,963","$203,136","$663,039","$237,953","$1,104,128","$4,232,091","$149,376","$173,636","$57,615","$112,685","$1,099,341","$4,537","$1,090,003","$2,687,193",306714.0,"$11,518,849",,85200000000.0,130000000000.0,723000000.0,950811.0,1630466.0,1953319.0,195931.0,2500000000.0,86963085.0,,-11400000.0,"-$14,391","-$459,961","-$397,948",-12600000.0,21400.0,0.0,,"$1,079,521",$ -,"$66,025","$61,481","$219,023","$72,123","$900,499","$1,364,699"
2,,,1996.0,,,783.0,181.0,$0.65,83%,,,,19.80%,11.30%,"$365,398",,41.0,41.9,27.4,7.1,25.2,2.8,16420.9,9283.9,21924.2,5725.6,20238.5,2272.6,7.6,7.5,11.4,43.8,12.4,110.3,,,11945.0,6753.0,15948.0,4165.0,14722.0,1653.0,,,,,"$1,471.30",$831.80,"$1,964.30",$513.00,"$1,813.30",$203.60,,,,,"$61,023","$134,016","$35,736","$40,024","$42,750","$32,742","$55,506",,,,"$58,222","$8,680","$15,536",,"$7,447","$8,648",,"$7,157","$3,274",,,12.0,366.0,,233.0,8143.0,-,14403.0,6099.0,-,8904.0,535.0,6488.0,7427.0,465.0,2362.0,936.0,2844.0,-,58839.0,,"$100,258","$1,606,002","$244,108","$998,383","$317,138","$3,265,889","$185,191","$914,132","$224,248","$1,323,571","$4,589,460","$104,090","$187,015","$61,164","$170,677","$1,031,883","$3,699","$1,248,990","$2,807,518",365398.0,"$12,746,582",,93900000000.0,134000000000.0,739000000.0,943942.0,1669822.0,2001755.0,195229.0,2550000000.0,97268562.0,,-12000000.0,"-$18,736","-$609,428","-$369,778",-13300000.0,23600.0,0.0,,"$1,091,295",$ -,"$74,562","$60,639","$474,103","$58,277","$860,431","$1,646,835"
3,,,1997.0,,,795.0,180.0,$0.63,83%,,,,17.30%,12.60%,"$257,851",,43.0,40.3,26.5,6.4,27.2,2.7,17030.3,8878.4,21022.3,5046.2,21564.4,2147.5,7.4,7.9,12.0,49.9,11.7,117.2,,,12660.0,6600.0,15628.0,3751.0,16031.0,1596.0,,,,,"$1,566.80",$816.80,"$1,934.10",$464.30,"$1,984.00",$197.60,,,,,"$81,966","$131,249","$34,952","$39,669","$38,440","$33,143","$53,968",,,,"$22,675","$8,609","$10,383",,"$8,244","$10,215",,"$8,486","$3,258",,,12.0,365.0,,308.0,8152.0,-,15637.0,6604.0,-,10807.0,617.0,7412.0,8676.0,488.0,1953.0,962.0,3035.0,-,64649.0,,"$163,638","$1,616,481","$261,974","$1,057,575","$389,302","$3,488,970","$226,936","$671,259","$253,254","$1,151,449","$4,640,419","$110,999","$174,275","$71,601","$172,138","$1,002,831","$4,095","$1,373,996","$2,909,935",257851.0,"$12,582,662",,99700000000.0,139000000000.0,771000000.0,969995.0,1749975.0,2100902.0,201363.0,2630000000.0,103207867.0,,-12800000.0,"-$22,890","-$594,599","-$422,042",-14200000.0,24600.0,0.0,,"$1,069,941",$ -,"$107,185","$67,202","$184,849","$69,174","$996,966","$1,665,361"
4,,,1998.0,,,823.0,179.0,$0.51,83%,,,,23.70%,13.30%,"$235,158",,41.2,39.0,24.7,6.1,25.7,2.6,16239.5,8587.2,19522.6,4789.1,20306.3,2043.5,7.8,8.2,13.0,52.8,12.5,123.8,,,11850.0,6266.0,14246.0,3495.0,14818.0,1491.0,,,,,"$1,505.70",$796.20,"$1,810.10",$444.00,"$1,882.70",$189.50,,,,,"$79,042","$121,885","$35,087","$38,788","$37,510","$32,434","$52,040",,,,"$20,720","$7,727","$9,362",,"$8,757","$10,352",,"$6,079","$3,313",,,12.0,365.0,,293.0,8753.0,-,16553.0,7281.0,-,11550.0,632.0,8033.0,9466.0,369.0,2345.0,1034.0,3252.0,-,69559.0,,"$164,209","$1,647,645","$282,412","$1,113,332","$412,243","$3,619,841","$248,016","$651,191","$254,651","$1,153,858","$4,773,699","$121,512","$196,647","$46,092","$257,345","$939,121","$2,816","$1,519,375","$3,081,802",235158.0,"$12,836,685",,103000000000.0,142000000000.0,793000000.0,963992.0,1791367.0,2161141.0,205129.0,2700000000.0,103724605.0,,-13200000.0,"-$33,005","-$566,795","-$433,828",-14600000.0,27100.0,255000.0,,"$1,066,856",$ -,"$93,641","$76,654","$181,361","$53,207","$1,087,297","$1,386,244"
5,,,1999.0,,,849.0,178.0,$0.51,82%,,,,24.40%,13.30%,"$310,346",,46.0,38.2,22.5,6.0,25.6,2.6,17938.2,8366.9,17547.0,4651.8,19996.9,1998.6,6.9,8.4,14.2,53.6,12.5,124.7,,,13073.0,6098.0,12788.0,3390.0,14574.0,1457.0,,,,,"$1,635.70",$762.90,"$1,600.00",$424.20,"$1,823.40",$182.20,,,,,"$70,886","$143,880","$38,127","$33,287","$39,307","$31,743","$53,344",,,,"$15,065","$7,363","$8,221",,"$10,349","$10,372",,"$5,827","$3,279",,,12.0,365.0,,452.0,8072.0,-,17306.0,8252.0,-,12438.0,634.0,8255.0,9800.0,530.0,2516.0,971.0,3224.0,-,72449.0,,"$72,657","$1,821,221","$274,688","$1,223,511","$472,668","$3,864,745","$263,026","$595,621","$258,104","$1,116,751","$4,981,496","$139,739","$191,995","$34,534","$292,179","$763,102","$3,090","$1,567,444","$2,980,535",310346.0,"$13,171,304",,105000000000.0,145000000000.0,813000000.0,957512.0,1833584.0,2225511.0,212029.0,2720000000.0,105529015.0,,-13200000.0,"-$28,812","-$809,047","-$432,737",-14900000.0,31000.0,273000.0,,"$1,161,402",$ -,"$96,495","$83,535","$121,607","$47,032","$1,197,420","$1,382,948"
6,,,2000.0,,,871.0,178.0,$0.65,82%,,,,21.00%,11.60%,"$340,297",,41.5,38.1,33.0,6.0,26.6,2.6,16137.3,8337.8,25702.0,4709.6,20732.4,2062.4,7.6,8.3,9.5,52.1,11.8,119.0,,,11587.0,5987.0,18455.0,3382.0,14887.0,1481.0,,,,,"$1,549.70",$800.70,"$2,468.20",$452.30,"$1,991.00",$198.10,,,,,"$154,882","$150,549","$19,519","$62,432","$34,435","$41,979","$60,682",,,,"$8,314","$8,237","$8,247",,"$9,763","$10,454",,"$8,111","$3,425",,,12.0,366.0,,515.0,9123.0,-,17657.0,5728.0,-,13014.0,657.0,7853.0,9736.0,580.0,2447.0,800.0,3274.0,-,71384.0,,"$53,522","$1,718,098","$357,610","$1,076,443","$1,126,057","$4,331,730","$273,646","$588,692","$287,262","$1,149,600","$5,481,330","$128,972","$181,864","$31,857","$304,507","$614,264","$4,175","$1,401,644","$2,667,283",340297.0,"$13,861,497",,108000000000.0,147000000000.0,827000000.0,949836.0,1864321.0,2269404.0,219543.0,2740000000.0,105709077.0,,-14100000.0,"-$12,079","-$540,632","-$434,694",-15300000.0,29900.0,340000.0,,"$1,373,459",$ -,"$144,432","$89,067","$75,853","$73,998","$1,450,075","$1,771,126"
7,,,2001.0,,,885.0,176.0,$0.68,83%,,,,23.60%,10.00%,"$449,617",,45.0,38.0,31.8,6.0,21.7,2.6,17453.4,8370.8,24655.6,4644.9,16844.3,2016.3,6.5,7.7,9.2,48.7,13.4,112.2,,,11623.0,5574.0,16419.0,3093.0,11217.0,1343.0,,,,,"$1,465.60",$702.90,"$2,070.40",$390.00,"$1,414.40",$169.30,,,,,"$118,694","$185,982","$40,482","$58,800","$31,365","$37,975","$64,825",,,,"$9,655","$9,407","$9,436",,"$11,734","$11,083",,"$8,454","$3,942",,,12.0,365.0,,565.0,8103.0,-,16895.0,5736.0,-,12544.0,686.0,7623.0,9594.0,455.0,2453.0,770.0,4718.0,-,70140.0,,"$105,248","$2,190,956","$337,276","$954,969","$958,366","$4,546,815","$282,335","$661,834","$313,030","$1,257,199","$5,804,014","$153,015","$198,047","$50,286","$327,483","$510,804","$2,871","$1,246,148","$2,488,654",449617.0,"$14,183,177",,97700000000.0,141000000000.0,803000000.0,907878.0,1808249.0,2187408.0,228220.0,2500000000.0,94179938.0,,-11900000.0,$ -,"-$546,002","-$408,254",-13200000.0,29500.0,266000.0,,"$1,507,010",$ -,"$144,545","$95,081","$78,234","$68,500","$1,387,393","$1,698,287"
8,,,2002.0,,,893.0,178.0,$0.65,83%,,,,25.90%,10.80%,"$689,549",,41.3,40.2,21.2,8.5,11.4,2.6,16309.4,8895.0,16734.2,6680.6,8985.5,2016.0,6.8,6.9,13.2,33.0,24.6,109.4,,,11261.0,6142.0,11555.0,4613.0,6204.0,1392.0,,,,,"$1,329.50",$725.10,"$1,364.10",$544.60,$732.50,$164.30,,,,,"$53,880","$173,365","$42,158","$57,697","$45,277","$37,506","$63,854",,,,"$45,077","$10,674","$14,927",,"$10,441","$10,904",,"$9,037","$3,781",,,12.0,365.0,,203.0,8074.0,-,14804.0,7869.0,-,2927.0,596.0,7796.0,8392.0,987.0,1713.0,848.0,11107.0,-,65319.0,,"$67,480","$2,023,849","$454,019","$892,446","$733,064","$4,170,858","$245,729","$974,999","$289,427","$1,510,155","$5,681,013","$126,748","$182,443","$182,835","$315,676","$302,196","$10,303","$1,298,567","$2,418,768",689549.0,"$13,445,779",,95300000000.0,132000000000.0,738000000.0,826272.0,1654175.0,1998796.0,217868.0,2260000000.0,90924099.0,,-10700000.0,"-$49,952","-$788,605","-$402,435",-12400000.0,37200.0,489000.0,,"$1,399,745",$ -,"$73,900","$84,303","$363,950","$72,963","$1,220,356","$1,462,053"
9,,,2003.0,,,948.0,180.0,$0.79,83%,,,,23.80%,8.50%,"$2,768,721",,41.6,42.1,19.8,8.4,11.0,2.5,16835.0,9440.0,16030.7,6782.4,8874.6,2043.5,6.7,6.6,14.1,33.3,25.5,110.7,,,11774.0,6602.0,11212.0,4744.0,6207.0,1429.0,,,,,"$1,435.60",$805.00,"$1,367.00",$578.40,$756.80,$174.30,,,,,"$54,845","$197,380","$45,441","$61,400","$47,378","$39,717","$68,691",,,,"$83,537","$12,560","$21,176",,"$11,024","$8,632",,"$9,517","$4,103",,,12.0,365.0,,177.0,7155.0,-,12760.0,7514.0,-,2590.0,567.0,6902.0,7701.0,834.0,818.0,779.0,11142.0,-,58945.0,,"$73,466","$1,992,085","$461,363","$841,438","$680,656","$4,049,008","$189,017","$1,248,193","$280,577","$1,717,787","$5,766,795","$134,803","$169,886","$115,870","$254,584","$210,175","$10,436","$1,171,595","$2,067,349",2768721.0,"$15,360,207",,89400000000.0,120000000000.0,668000000.0,704758.0,1481939.0,1787252.0,194400.0,2020000000.0,84246369.0,,-10300000.0,"-$167,206","-$1,010,390","-$408,302",-14200000.0,52200.0,2330000.0,,"$1,412,253",$ -,"$44,389","$78,879","$597,709","$68,094","$1,068,333","$1,601,292"
10,,,2004.0,,,984.0,180.0,1.13,83%,,,,23.90%,9.30%,"$3,237,920",,47.5,45.4,21.9,9.3,12.2,2.8,19143.4,10164.1,17657.6,7518.2,9863.8,2257.0,8.0,8.4,17.4,41.0,31.2,136.5,,,12806.0,6799.0,11812.0,5029.0,6598.0,1510.0,,,,,"$1,594.90",$846.80,"$1,471.10",$626.40,$821.80,$188.00,,,,,"$48,365","$209,330","$45,333","$65,248","$47,445","$38,323","$68,551",,,,"$86,195","$13,666","$22,217",,"$11,872","$7,777",,"$10,034","$4,248",,,12.0,366.0,,185.0,6786.0,-,12781.0,7357.0,-,2632.0,536.0,6660.0,7451.0,678.0,838.0,810.0,10844.0,-,57558.0,,"$48,781","$1,999,912","$480,033","$819,797","$597,139","$3,945,662","$179,960","$1,278,756","$283,776","$1,742,492","$5,688,154","$146,893","$187,210","$120,420","$271,117","$203,633","$13,701","$1,342,104","$2,285,078",3237920.0,"$16,767,211",,98300000000.0,130000000000.0,722000000.0,733010.0,1603456.0,1933922.0,154318.0,2130000000.0,86901935.0,,-10800000.0,"-$87,203","-$2,277,918","-$474,474",-15200000.0,55400.0,1510000.0,,"$1,420,513",$ -,"$38,645","$80,565","$584,916","$68,093","$1,135,841","$2,411,963"
11,,,2005.0,,,1039.0,183.0,$1.71,84%,,,,34.90%,10.80%,"$3,589,235",,51.9,48.9,27.1,9.7,14.0,3.1,21654.5,11140.0,22620.7,8108.5,11681.5,2562.6,7.2,7.7,13.9,38.7,26.8,122.4,,,13931.0,7166.0,14552.0,5216.0,7515.0,1649.0,,,,,"$1,835.70",$944.30,"$1,917.60",$687.40,$990.20,$217.20,,,,,"$43,140","$155,532","$40,037","$58,523","$43,110","$33,850","$57,460",,,,"$77,320","$12,594","$20,254",,"$11,552","$8,418",,"$8,934","$3,916",,,12.0,365.0,,153.0,6181.0,-,12015.0,5917.0,-,2313.0,471.0,6650.0,7073.0,484.0,680.0,781.0,9513.0,-,52231.0,,"$35,225","$1,442,392","$346,283","$711,625","$465,679","$3,001,204","$172,542","$1,057,891","$235,544","$1,465,977","$4,467,181","$163,575","$177,491","$94,752","$374,443","$187,796","$13,331","$1,478,539","$2,489,927",3589235.0,"$17,308,878",,104000000000.0,134000000000.0,731000000.0,703506.0,1622318.0,1923533.0,155800.0,2130000000.0,86105101.0,,-11300000.0,"-$74,070","-$3,720,665","-$521,304",-16100000.0,64400.0,461000.0,,"$961,342",$ -,"$14,938","$71,402","$477,918","$55,220","$1,073,685","$3,646,949"
